id,content,created_at,embedding
1,"page_content=''133\nAppendix—USDF Teaching Manual Articles\nBASIC EXERCISES AND DRESSAGE MOVEMENTS\nExcerpted from Principles of Riding  \nThe Official Handbook of the German National Equestrian Federation, 1985 edition\nReprinted with permission of Half Halt Press\nTurns and Circles\nThe rider can ride a turn or circle correctly when he is able to bend the horse’s body laterally according to the curvature \nof the line which he follows.  He must be able to cause the hind fee to follow exactly in the tracks of the forefeet.\nIn a correctly executed turn or circle the horse’s inside hind leg carries more weight than the outside one.  Before every \nturn or circle the rider should prepare the horse with a half halt and transfer his weight a little to the inside seat bone, in \nthe direction of the movement.\nThe horse should then be flexed in the same direction.  The inside rein should guide the horse into the turn, the rider’s \ninside leg, close to the girth, causing the horse’s inside hind leg to reach further forward.  The outside rein should yield \njust enough to allow the horse to flex to the inside, while at the same time it restrains the horse from falling out over the \noutside shoulder.  The outside leg should control the quarters.\nWhen the horse’s forehand is guided from the straight line into the direction of the turn, the influence of the inside rein \nis decreased again.  The rider should ‘straighten’ the horse with the outside rein, keep the horse exactly on the line of the \ncircle. (‘Straight’ on the circle means making sure that the hind feet follow in the tracks of the forefeet, and that the horse \nis bent from head to tail according to the curvature of the line.)\nThe correct distribution of the rider’s weight is most important.  In transferring his weight to the inside seat bone he \nshould push the inside hip forward with a deep knee.  This will also prevent him from collapsing his inside hip and slip-\nping the seat to the outside.  At the same time he should make sure not to leave the outside shoulder behind.\nOnly when sitting correctly with correct distribution of weight can the rider bend his horse as needed.\nRiding a Corner\nTo ride a corner correctly it is necessary to apply a half halt six metres (20 feet) away from the wall ahead.  The horse \nshould be flexed to the inside, then the corner should be ridden like a quarter volte (6-metre circle).  Aids and bend \nshould be similar to those riding a circle.\nIf the horse tried to cut the corner, not bending laterally, the rider must counteract with strong inside aids.  A rider at pre-\nliminary stage is advised to practice riding a corner at a walk, and to give the aids one after another rather than simulta-\nneously.  Also he should not make the mistake of guiding the horse’s head and neck too deep into the corner, thus coming \nout of it with the wrong bend.\nIt is also incorrect to ride the horse deeper into the corner by bringing both hands to the outside, with the inside hand \ncrossing the mane.  This causes the horse to fall out over the shoulder.\nWhen riding a turn out of doors the rider must ensure that the horse does not try to avoid bending correctly by approach-\ning the turn not on a straight line but on an outward curve.\nBefore changing rein on the riding school diagonal the rider has to ensure that the horse does not turn too soon.  After \nthe corner, inside leg and outside rein keep the horse straight on the track for one horse’s length.  Only when the horse’s \noutside shoulder reaches the marker should the rider start the turn across the diagonal.  If there is no wall the outside aids \nhave to keep the horse on the curvature of the turn and not allow him to fall out.'' metadata={''source'': ''basicexercises.pdf'', ''page'': 0}",2024-12-30 01:04:14.255354,
2,"page_content=''134\nAfter each turn the horse should be ridden actively forward.\nRiding a Circle\nWhen riding on a circle the horse’s hind quarters must be guided and controlled by the rider’s legs; his forehand by the \nreins.  The circumference of the circle is determined by the circle markers.\nThe rider’s inside leg, close behind the girth, activates the inside hind leg, helping to maintain the lateral bend and \npreventing the horse from falling into the circle.  The rider’s outside leg should be positioned further behind the girth, \ncontrolling the quarters.  The rider’s outside leg, together with the inside rein, should maintain the lateral bend and cause \nthe outside hind leg to step further forward.\nWhen changing rein on a figure of eight the horse should be straightened for a moment before flexing and bending him \nin the new direction.  The same applies for changing ‘through’ the circle.  The rider must be careful not to ride too wide a \nfirst half-circle so that the second half-circle can be of equal diameter.\nWhen changing either out of or through the circle the rider must shorten the new inside rein, transferring his weight to \nthe new inside seat bone, and changing the leg aids accordingly.\nThe Volte\nThe volte is a small circle 6m (20ft) in diameter.  It calls for the most acute lateral bend that a horse can perform on one \ntrack, and can be ridden only in collected paces.  Should a volte of a smaller diameter (5 metres or 16 feet) be attempted, \nthe horse could no longer bend laterally according to the line of movement.  The quarters would fall out and the rhythm \nof the pace would become irregular.  Therefore in preliminary training, when the horse is not yet able to move in collec-\ntion, a volte should not be attempted.  On the subject of turns or circles, it is absolutely essential to avoid over-use of the \ninside rein aid, which causes the quarters to fall out or the rhythm to be broken.  Remember, too, that the outside rein \nmust maintain an elastic contact.  Pressing down the inside heel will ensure correct distribution of weight, bringing it \nmore on to the inside seat bone.\nOtherwise the aids for riding a volte are the same as for riding a circle.\nThe most common rider fault when riding a volte is to change its shape into an oval.  The volte must be absolutely round \nand must end where it began.  A novice rider can make sure of this by placing the volte intentionally a little in front of \nwhere it touches the track.\nTo improve this movement it is helpful to ride a few voltes, one after another, in the same place.\nHalf-Circles\nWhen riding a half-circle and inclining back to the track, the aids for the first part of the movement are the same as for \nthe volte.  A half-volte is ridden in a 5m (16ft) diameter.  It is usually ridden in the second corner of a long side.  At the \nwidest part of the half-volte the rider inclines toward a straight line back to the track, touching the same 10.50m (35ft) \nafter the corner.\nLoops\nDepending on their number and size, loops are used either as exercises for making the horse supple or as preparation for \ncollection.  The number of loops to be ridden depends on the size of the arena and the stage of training or horse and rider.\nThe simplest loop is a single 5m (16ft) one on the long side.  After the first corner of a long side the horse should be \nstraightened for a moment and then guided into the arena in a shallow loop.  At the E or B markers the horse will be at a \ndistance of 5m (16ft) away from the track.  The rider then rides an equally shallow turn back to the track, reaching it at \nthe marker before the second corner of the long side.'' metadata={''source'': ''basicexercises.pdf'', ''page'': 1}",2024-12-30 01:04:14.316613,
3,"page_content=''135\nWhen riding a double loop each loop will be only 2.50m (8ft) deep.\nSerpentines\nWhen riding serpentines the rider turns at the marker after riding through the first corner of a long side.  He spaces out \nthe required number of loops (usually three or five) at equal distances over the whole arena, and ends at the changing \nmarker before the second corner of the long side.  The loops are counted from centre line to centre line.  The first and last \nloops are then only half-loops, but count as full ones.  Riding a serpentine as in international competitions – i.e. start-\ning and ending at the centre of the short side – should be avoided.  This is because in training horses it is very useful to \nbe able to use the first and last corner of a long side to prepare the horse for the bending that is necessary when riding a \nserpentine.\nTo ride a serpentine correctly the weight aids are most important for turning the horse.  On entering each new loop the \nhorse has to be both flexed and bent in the new direction by shortening the new inside rein and changing weight and leg \naids.  When riding in canter with a simple change of leg, the new canter should be asked for when entering each new \nloop.\nThe constant changing of flexion and bend in a serpentine is very beneficial for both horse and rider.\nTurns at a Halt\nTurns at a halt can be executed either around the forehand or around the haunches.\nWhen riding a turn around the forehand the pivoting point should be close to and at the side of the inside forefoot.  When \nriding a turn around the haunches the pivot point should be at the side of the inside hind foot.\nTurn around the Forehand\nThe turn around the forehand is a suppling exercise and teaches horse and rider the effects of the one-sided aides (side-\nways driving aids).\nFirst of all, the horse – being on the bit – is flexed slightly away from the direction of the turn.  The rein, which has now \nbecome the inside rein, is shortened accordingly.  The rider’s weight is transferred to the inside seat bone.\nThe inside leg should be applied a little behind the girth, pushing the horse’s quarters step by step around the forehand \nuntil the turn is completed.  The horse’s inside hind leg crosses in front of his outside one.  The rider’s outside leg, giving \nsupport behind the girth, meets the quarters distinctly, after every step, creating a little pause.  This prevents the quarters \nfrom turning too fast.\nDuring and after the turn around the forehand, the rider’s legs and seat keep the horse on the bit and prevent him from step-\nping backwards.  If the horse should step forwards, he most likely would fall out on to the outside shoulder.  This should be \ncounteracted by the outside rein.  If the horse steps backwards during the exercise it is considered to be a lesser fault.\nIn an indoor school the turn around the forehand cannot be executed on the track (as there would be no room for the \nhorse’s head and neck in the turn).  The turn should be executed on the inner track.  The inner track is an imaginary track \nabout 0.80m (3ft) inside the ordinary track.\nTurns Around the Haunches\nThe turn around the haunches creates collection.  First of all, the horse – on the bit – should be flexed well in the direc-\ntion of the turn, then the inside rein should guide him into the turn.  The rider’s weight should be increasingly transferred \nto the inside seat bone.  The outside should be brought a little forward.  The inside leg should act close to the girth, driv-\ning the horse forward.  This leg and the supporting outside leg activate the horse’s hind legs to step rhythmically forward \nand closer to his centre of gravity.  Both the rider’s legs inhibit the horse from stepping backwards; the outside support-\ning leg prevents the outside hind foot from deviating sideways.'' metadata={''source'': ''basicexercises.pdf'', ''page'': 2}",2024-12-30 01:04:14.353088,
4,"page_content=''136\nThe outside rein should control the amount of flexion, but must yield enough so that the horse can move uninterrupted in \nthe direction of the turn.\nIn this movement it is essential for the hind legs to maintain an even and regular 4-beat rhythm.\nIt is a minor fault if the horse steps a little forward.  For a novice rider it is even advisable to start the turn by asking the \nhorse to take one or two small steps forward, and only then to begin the turn around the haunches.\nSince the pivoting point of this movement is at the side of the inside hind leg, the horse, in executing the turn, leaves the \ntrack and ends the movement his own width away from the track.  Therefore he has to be guided forward/sideways back \non to the track while completing the last step of the turn.  In this way it is possible to finish the movement correctly, with \nthe horse standing squarely on the track, after the turn around the haunches.\nMain rider faults in the turn around the haunches are:\n•	 Too much outside leg.\n•	 Wrong displacement of the weight (on to the outside seat bone).\n•	 Collapsing the inside hip.\n•	 Too much rein action.\nThese faults usually happen together and cause the horse to step backwards and flex incorrectly, against the direction of \nthe turn.\nTurns at a Pace\nThe turn around the haunches, executed at any pace, is called a HALF-PIROUETTE.\nAt elementary level a pirouette is performed at a walk or collected trot.  (When performed at a collected trot the actual \nturn is also executed at walk.)  The horse may not come to a halt before or after the turn.  The aides are the same as in the \nturn around the haunches.\nThe half-pirouette has the advantage that the horse is already moving forward.  It is easier, therefore, to prevent the horse \nfrom standing on the inside hind leg or even stepping backwards during the turn.\nLeg-yielding\nLeg-yielding is the most basic of all lateral movements.  It is a suppling exercise, making the horse loose and uncon-\nstrained and teaching him to obey the sideways driving aids.  It is an excellent means of teaching the novice rider to \ncoordinate his aids.\nWhen leg-yielding, the horse is straight from head to tail, with a slight flexion away from the direction in which he is \nmoving.  He moves forward/sideways on two tracks.  The inside legs pass and cross in front of the outside legs.\nSince the horse is flexed towards the sideways driving leg, this side is called his ‘inside’, even if it is facing the outside of \nthe arena.\nLeg-yielding can be performed at a walk or – for a short distance – at a trot, on the long sides of the school, on the diago-\nnal, and on the circle.\nWhen leg-yielding along the long side of the school, the novice rider or horse should start by yielding from the leg facing \nthe wall.  When facing the wall at an angle it is easier for horse and rider to get the effect of the sideways driving aids.\nLater on it will be found more beneficial to leg-yield from the inside leg along the wall, with the horse facing the inside \nof the school.\nWhen leg-yielding along the edge of the school the horse should be at a maximum angle of 45˚ to the wall.'' metadata={''source'': ''basicexercises.pdf'', ''page'': 3}",2024-12-30 01:04:14.387479,
5,"page_content=''137\nThe Aids\nThe rider should sit more on the inside seat bone, with his inside leg close behind the girth, pushing the quarters side-\nways.  This leg aid should be applied at the moment when the inside hind leg is lifted off the ground to start a forward/\nsideways step.  If necessary the aid is repeated with every step or stride.  The forehand is guided along its track by the \noutside rein.  By supporting action of the outside leg the rider counteracts any rushing away from the inside leg, and with \nthe supporting outside rein he eliminates any falling out on to the outside shoulder.\nWhen planning to leg-yield along the wall of the school, with the horse’s head towards the wall, the rider should start the \nmove in the first corner of the long side, the rider should apply a half halt.  The fact that the horse is slightly facing the \nwall will help the half halt to have effect (which is another essential reason why this kind of leg yielding should be taught \nfirst to novice riders and/or horses).  The horse should then be straightened and flexed towards the wall.  From this posi-\ntion the rider should start the leg-yield.\nTo finish the leg-yield the horse should be flexed the other way and the forehand should be guided in a shallow turn to \nalign with the hind quarters.  The rider should then proceed straight ahead, and only at this point should he return to the \ntrack.\nWhen leg-yielding along the wall from the leg which is facing the inside of the school, the rider should lead the forehand \na step into the school as though he wanted to change the rein on the diagonal.  The quarters should stay on the track.  The \nrider should then apply a half-halt and start leg-yielding.  To end the leg-yielding he should bring the forehand back to \nthe track in line with the quarters.\nLine-to-Line Leg-Yielding\nTo test and improve the horse’s obedience to the forward/sideways driving leg aid and the guiding outside rein, leg yield-\ning from line to line is a good exercise.\nIn Germany this exercise is carried out from the long side, about 5m (16ft) inwards and then back to the track.\nIt should be ridden in walk or working trot.  The horse moves on two tracks, which are one step apart, with a slight flex-\nion away from the direction of movement nearly parallel to the long side of the arena.  The forehand should be slightly in \nadvance of the quarters.\nAfter passing the first corner of a long side the rider should straighten the horse for a moment.  At the marker, he should \nflex the horse away from the direction of movement.  Then he moves the horse with the – now – inside leg forward/\nsideways into the arena.  The outside leg together with the weight aids keep the horse going well forward and prevent the \nquarters from preceding the forehand.\nThe leg-yielding on the first diagonal into the arena is finished when the horse’s head is nearly in line with the middle of \nthe long side.  He is by the about 5m (16ft) away from the wall.  Here the horse is ridden straight ahead for one horse’s \nlength.  The flexion should then be changed to the opposite side and the rider’s leg should yield the horse back towards \nthe track, which he should meet at the marker before the corner of the long side.'' metadata={''source'': ''basicexercises.pdf'', ''page'': 4}",2024-12-30 01:04:14.430231,
6,"page_content=''59\nLateral Movements\nDefinition\nThe lateral movements include:  leg-yielding, shoulder-in, travers (head to the wall), renvers (tail to the wall) and half-\npass.  In lateral movements, the horse moves with the forehand and the quarters on two different tracks.\n“The fore and hind legs no longer move on one track but on more than one track forward and sideways.  The hind legs \ncross closely in front of each other.”  [The Dressage Horse, p 138]\nPurpose\n“to improve the obedience of the horse to the cooperative aids of the rider;•	\nto supple all parts of the horse thereby increasing the freedom of his shoulders and the suppleness of his quarters as •	\nwell as the elasticity of the bond connecting the mouth, the poll, the neck, the back and the haunches;\nto improve the cadence and bring the balance and pace into harmony;•	\nto develop and increase the engagement of the quarters and thereby also the collection.”  [•	 USEF Rule Book DR111]\nQualities Desired\n“At the lateral movements the pace should remain free and regular, maintained by a constant impulsion, yet it must be \nsupple, cadenced and balanced.”  [USEF Rule Book DR111]\nAids\n“At all lateral movements, the side to which the horse should be bent is the inside.  The opposite side is the outside.”  \n[USEF Rule Book DR111]\n“The rider must be very careful to sit exactly behind the horse’s neck, his shoulders parallel to those of the horse, his hips \nparallel to the hips of the horse.  Only then is it possible to move with the horse, not restrict his movement or bring him \nout of balance.  In lateral work the rider loads the inside seat bone a little more.”  [The Dressage Horse, p 138]\nSource: Riding Logic\nHorse \nis in a \nstraight \nline.\nFlexed to \nthe left.\nBent to the \nleft.\nGiving way to \nthe leg to the \nleft. On two \ndistinct tracks.\nRiding in a flexed position on two tracks. Each rider depicted is moving straight towards the observer. Each appears to be \nsitting perfectly straight, although slightly inclined to the inside, but with no hint of collapse at the hips. The horses are \nmoving in a flexed position but in a straight line and not sideways. Impulsion and energy have to be maintained otherwise \nthe exercise is pointless.\nmovemenTs\nChapter 18'' metadata={''source'': ''movements1.pdf'', ''page'': 0}",2024-12-30 01:04:14.765684,
7,"page_content=''60\nSource: Riding Logic\nShoulder-in \nto the left. No \npulling round \nat the neck.\nTravers to the \nleft (quarters-in). \nRenvers to the \nright (quarters \nout).\nTravers to the \nright. Renvers \nto the left.\nCommon Mistakes\n“The impulsion is often lost because of the rider’s preoccupation in bending the horse and pushing him sideways.”  \n[USEF Rule Book DR111]\n“Many riders collapse the inside hip which then actually loads the outside seat bone thus making it easy for the horse to \nlose his Takt (rhythm).”  [The Dressage Horse, pp 138-139]\nTraining Advice\nLateral movements should only be practiced for a relatively short time, now and then interrupted by some energetic \nmovement straight forward, in order to maintain, increase, or restore the impulsion.\n“Should one practice lateral work without having attained a certain degree of collection, there is a danger of throwing the \nhorse onto the shoulder, and the purity of the paces [gaits] will be lost.  The riding of lateral work is based on the ability \nof the horse to have his inside hind leg carry more weight during circle and volte work.  In preparation, ride in walk first, \nso they trust the aids.  It is easier for the horse to learn to move their hind legs forward and sideways.”  [The Dressage \nHorse, p 138]\nAs all flexion at the poll and [bending] the neck have a repercussion on the whole spine, “the bend or flexion must never \nbe exaggerated so that it impairs the balance and fluency of the movement concerned.”  [USEF Rule Book DR111]  This \napplies especially to the half-pass where the bend should be less evident than in the shoulder-in, travers and renvers.\nTurn on the Forehand\nDefinition\nThe turn on the forehand is a movement in which the horse’s hindquarters turn around the forelegs which march in place.  \nThe horse is bent in the opposite direction of movement and is therefore stepping away from the rider’s inside leg.  The \nmovement can be ridden as either a 180 or 360 degree turn.\nGymnastic Purpose\n“The half turn on the forehand is an exercise aimed at developing looseness (Losgelassenheit) and also serves to teach \nthe horse to respond to the sideways-pushing aids.  Since the exercise is performed slowly, and can be taken a step at a \ntime, it is a good opportunity for the novice rider to learn and practice each aid and learn to coordinate the aids.”  [Prin-\nciples of Riding, p 107]'' metadata={''source'': ''movements1.pdf'', ''page'': 1}",2024-12-30 01:04:14.796266,
8,"page_content=''61\n“The purpose of the turn is to supple the horse and to teach him obedience to the aids.”  [Practical Dressage Manual, p 69]\n“As a preparation for true dressage, the turn on the forehand has limited value, since a greater proportion of weight has to \nbe on the forehand, whereas the first aim of dressage training is to get the hindquarters to support the greater proportion \nof the total mass.  Nevertheless, the turn on the forehand is a necessary lesson at the beginning of training as it is an easy \nway of acquainting the horse with the predominant effect of the rider’s inside leg.”  [Dressage, A Guidebook for the Road \nto Success, p 47]\nQualities Desired\nThe qualities desired in the turn on the forehand are that the horse steps willingly away from the rider’s leg with regular, \neven steps, without stepping backwards or barging through the bridle.\nAids\n“The half-turn on the forehand is performed as follows:\nThe horse is halted (or walking); so as to avoid making the horse step back or raise its head, when riding in an en-•	\nclosed area, the turn on the forehand should be performed on the inside track, and not up against a wall.\nThe horse is flexed to the side of the sideways-pushing leg.•	\nThe inside-hind foot steps in front of and across the outside hind foot.•	\nAt the end of the exercise, i.e. when the horse has turned through 180 degrees, it is positioned straight again in the •	\nhalt at this point it will be back on the outside track.\nThe following aids are used for the turn on the forehand:\nIn order to obtain the flexion, the rider transfers more of his weight onto the inside seat bone and shortens the new •	\ninside rein.\nThe outside ‘guarding’ rein prevents excessive bend in the head and neck.•	\nWith his inside leg drawn back slightly, the rider pushes the hindquarters, step by step, forwards and sideways •	\naround the forehand; he uses his leg in time with the horse’s movement.\nThe outside ‘guarding’ leg prevents the horse from stepping too far sideways and prevents the movement from •	\nbecoming hurried.\nAt the end of the movement the horse is halted again.”  [•	 Principles of Riding, p 107-108]\n“After the halt, bend him slightly by closing your inside fist until you see the arch above the eye.  [Remember to lengthen \nthe outside rein.]  Put more weight on your inside seat bone.  Squeeze with your inside leg behind the girth and move \nhim, step by step.  If he wants to go backward, urge him forward with both legs.  If he wants to go forward, tighten your \nreins.  Your outside leg on the girth controls the speed (he must move step by step without rushing) and moves the out-\nside fore foot forward.  If he swings the haunches too fast use your outside leg behind the girth.  The outside rein controls \nthe bend.  When you have completed the turn, straighten him and walk on.”  [Practical Dressage Manual, p 72]\nTraining Advice\n“Throughout the turn, the rider must use his legs and weight to keep the horse ‘in front of the leg.’  This is the only way \nto ensure that the horse will remain on the bit and will not escape forwards or step back.”  [Principles of Riding, p 108]\nIf the horse has a strong tendency to be ‘behind the leg,’ it may be helpful to perform the turn on the forehand from the \nwalk.\n“It is often helpful to use the whip behind your inside leg.  The aim, however, is to make the horse obedient to a slight \nsqueeze – a whisper.”  [Practical Dressage Manual, p 72]\nCommon Mistakes\nThe most serious mistake made in the turn on the forehand is to allow the horse to step backwards.  Another common \nmistake is overbending the horse, which allows the horse to fall out the outside shoulder and prevents the proper crossing \nof the hind legs.  This can turn into a “turn around the middle,” which has little loosening effect on the horse.'' metadata={''source'': ''movements1.pdf'', ''page'': 2}",2024-12-30 01:04:14.827566,
19,"page_content=''72\nThe horse is not collected or straight enough when cantering up to the spot where the pirouette is supposed to be •	\nexecuted.\nThe transition out of the pirouette is too explosive.”  [•	 Practical Dressage Manual,  pp 130-131]\nThe main faults in riding a pirouette are escaping quarters, loss of lateral bend, loss of Schwung, and falling onto the \ninside shoulder.”  [Advanced Techniques of Riding, p 61]'' metadata={''source'': ''movements1.pdf'', ''page'': 13}",2024-12-30 01:04:15.21964,
9,"page_content=''62\nLeg-yield\nDefinition\n“The horse is almost straight, except for a slight positioning at the poll away from the direction in which he moves, so \nthat the rider is just able to see the eyebrow and nostril on the inside.  The inside legs pass and cross in front of the out-\nside legs.”  [USEF Rule Book DR111]  In the leg-yield, the horse is moving sideways and forward on two tracks, away \nfrom the rider’s inside leg.  The leg-yield is performed in the walk and trot.\nGymnastic Purpose\n“Leg-yielding is an exercise aimed at developing looseness (Losgelässenheit) and in particular, making the horse more \nresponsive to the sideways-pushing aids.  It is an excellent exercise for teaching the rider to coordinate the aids.”  [Prin-\nciples of Riding, p 108]\n“It makes the horse obedient to the unilateral aids (legs and hands on the same side) thus suppling him and preparing him \nfor the shoulder-in, the half-pass, travers and renvers.  Leg-yielding is a means to make the horse obedient, not an end in \nitself.”  [Practical Dressage Manual, p 61]\n“Leg-yielding must improve submission to the inside leg and hand and put the horse increasingly on the outside aids.  \nIt is a loosening exercise.  The horse cannot stiffen his inside hind when it is made to cross in front of the outside one \nand engage under the body mass.  As a result, leg-yielding promotes the flexibility and elasticity of the hindquarters.”  \n[Dressage, A Guidebook for the Road to Success, p 45]\nQualities Desired\nThe horse should go both forward and sideways with even, rhythmical \nand fluid steps with a marked loosening of the hindquarters.  When ex-\necuted properly, the leg-yield enhances the connection between the rider’s \ninside leg and outside rein.  Maintaining a steady rhythm is important.\nAids\n“The aids for leg-yielding are as follows:\nThe rider places more weight on the inside seat bone.•	\nThe rider’s inside leg is positioned behind the girth and pushes •	\nforwards and sideways, keeping as far as possible in time with the \nmovement.\nThe rider’s outside leg is placed in a ‘guarding’ position behind the •	\ngirth, preventing the horse from moving its hindquarters too far side-\nways.  It is also responsible for maintaining the forward movement.\nThe rider ‘feels’ the inside rein in order to obtain the flexion.•	\nThe rider ‘gives’ sufficiently with the outside rein to allow the flex-•	\nion while still maintaining a steady contact with the horse’s mouth.  \nHe also uses the outside rein to prevent the horse bending its head \nand neck excessively and falling out onto the outside shoulder.”  \n[Principles of Riding, p 95]\nTraining Advice\n“Leg-yielding can be performed on the diagonal, in which case the horse \nshould be as close as possible parallel to the long sides of the arena, al-\nthough the forehand should be slightly in advance of the quarters.  It can \nalso be performed along the wall, which case the horse should be at an \nangle of about 35 degrees to the direction in which he is moving.”  [USEF \nRule Book DR111]\nSource: Practical Dressage Manual\nLeg yielding across half a diagonal and \nstraight forward on center line.'' metadata={''source'': ''movements1.pdf'', ''page'': 3}",2024-12-30 01:04:14.860322,
